TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2024/11/23
TIME	02:53:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-760, Rev. 1.00
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  500.0000
LASTX	  250.0000
NPOINTS	     501
FIRSTY	     0.00323
MAXY	     1.25536
MINY	     0.00247
XYDATA
485.5	0.00314291	0.00277299	0.00269441	0.00268639	0.00264766	0.00267766	0.00262854	0.00251206	0.00250606	0.00245403	0.00237284	0.00227661	0.00220979	0.00224525	0.00196366	0.00152822	0.00093272	-2.41497E-005	-0.000763036	-0.00129576	-0.00174943	-0.00193932	-0.00226593	-0.00245048	-0.00265628	-0.00290129	-0.0030388	-0.0032215	-0.00337979	-0.00356623	-0.00371603	-0.0039131	-0.00404413	-0.00422422	-0.00426039	-0.00439599	-0.00450255	-0.00467979	-0.00473265	-0.00485328	-0.00480434	-0.00480333	-0.00477227	-0.00455939	-0.00458054	-0.00427976
485	0.00315228	0.00280855	0.00266897	0.00268144	0.00265632	0.00269273	0.00263179	0.00250753	0.00249446	0.00249351	0.00242883	0.00229466	0.00226074	0.00225082	0.00198283	0.00154751	0.000966977	-4.18648E-005	-0.00078877	-0.00133604	-0.00173857	-0.00193042	-0.0022416	-0.00245192	-0.00261128	-0.00293285	-0.00307766	-0.00320595	-0.00333716	-0.00355377	-0.00364988	-0.00386459	-0.00398499	-0.00417969	-0.00429415	-0.00435722	-0.00445404	-0.00461981	-0.00473944	-0.00478006	-0.00479592	-0.00475233	-0.0047569	-0.00450862	-0.00453494	-0.00424609
484.5	0.00321295	0.00281327	0.00272038	0.00269626	0.00270363	0.00270286	0.00269508	0.0025113	0.00252223	0.00247567	0.00245114	0.0023485	0.00224978	0.00229302	0.00201838	0.00160213	0.000973066	-9.28537E-006	-0.000770921	-0.00130186	-0.00173266	-0.00190111	-0.00225564	-0.00242344	-0.00265211	-0.00291619	-0.00301888	-0.0031505	-0.00335079	-0.00352262	-0.00368483	-0.00384223	-0.00395508	-0.00420175	-0.0042447	-0.00438285	-0.00442532	-0.00464901	-0.0046512	-0.00479025	-0.0047514	-0.00478764	-0.00469813	-0.00447141	-0.00451923	-0.00422195
484	0.00319724	0.00285352	0.00272617	0.0027118	0.00269083	0.00269487	0.00266048	0.00252191	0.00249661	0.00252292	0.00251585	0.00233903	0.00231135	0.00227732	0.00201473	0.00158725	0.000994777	-4.28716E-005	-0.000757465	-0.00129684	-0.00172241	-0.00190618	-0.00223827	-0.00246433	-0.0025811	-0.00292952	-0.003028	-0.00319549	-0.00332676	-0.00348244	-0.00365468	-0.00384374	-0.00396075	-0.00416579	-0.00426379	-0.00434249	-0.00438579	-0.00459611	-0.00464832	-0.00473605	-0.00475767	-0.00475149	-0.004725	-0.00449015	-0.00453286	-0.004267
483.5	0.00320823	0.00278188	0.0027156	0.00267325	0.00270336	0.00269891	0.00269267	0.00248615	0.00247677	0.0024653	0.00244832	0.0023414	0.00227636	0.00226953	0.00203795	0.00158992	0.000980522	-1.38868E-005	-0.000751051	-0.00132654	-0.00172711	-0.00189258	-0.00220043	-0.00247068	-0.00260735	-0.00291105	-0.00298131	-0.00315677	-0.00333478	-0.00352003	-0.00370571	-0.00383828	-0.00399817	-0.00421123	-0.00422352	-0.00440302	-0.00442968	-0.00465503	-0.00467582	-0.00476189	-0.00476729	-0.00478648	-0.00471199	-0.00447019	-0.00455186	-0.00425809
483	0.00320285	0.00284635	0.00273552	0.00271027	0.002712	0.0026646	0.00267897	0.0025565	0.00253547	0.00251272	0.00253197	0.00232396	0.00230389	0.00230234	0.00205365	0.00164542	0.000995868	-2.88324E-005	-0.000724004	-0.00130442	-0.00165005	-0.00190931	-0.00218295	-0.00242243	-0.00257015	-0.00291364	-0.0029709	-0.00317456	-0.00329158	-0.00344369	-0.00364474	-0.00381028	-0.00398651	-0.0041274	-0.004214	-0.00433083	-0.00437252	-0.0045718	-0.00465085	-0.00467877	-0.00474131	-0.0047292	-0.0047229	-0.0044969	-0.00450616	-0.00427547
482.5	0.0031979	0.00279181	0.00273876	0.00270764	0.0027551	0.00271833	0.00267361	0.00251829	0.00252494	0.00249649	0.00250581	0.00238316	0.00231266	0.00227678	0.00210697	0.00168229	0.00101812	-2.23191E-005	-0.000733705	-0.00131038	-0.00168297	-0.00185433	-0.00213094	-0.00241675	-0.0025991	-0.00284036	-0.00297763	-0.00312244	-0.0032856	-0.00344205	-0.00365635	-0.00377615	-0.00396152	-0.00414636	-0.00424342	-0.00434582	-0.0044219	-0.00459504	-0.00464428	-0.00469887	-0.00472043	-0.00475107	-0.00473801	-0.00449264	-0.00448219	-0.00422304
482	0.00322783	0.00288084	0.00277333	0.00279626	0.00276478	0.00269398	0.00261777	0.00264171	0.00258089	0.00247196	0.00254198	0.00236071	0.00232566	0.00230678	0.00211279	0.00165128	0.000952784	-3.34277E-005	-0.000730915	-0.0012593	-0.0016278	-0.0019126	-0.00216444	-0.00237921	-0.00258698	-0.00284553	-0.00298048	-0.00315243	-0.00320102	-0.00338669	-0.00362107	-0.00378999	-0.00396034	-0.00408703	-0.00420546	-0.00434861	-0.00438537	-0.0045518	-0.00459985	-0.00467832	-0.00469233	-0.00470225	-0.0047329	-0.00455376	-0.00444287	-0.00423356
481.5	0.00315901	0.00283067	0.00273659	0.00271325	0.00270214	0.00269281	0.00258923	0.00254759	0.00246384	0.00246034	0.00246224	0.00233763	0.0023166	0.00222139	0.00211738	0.00164447	0.000917466	-6.58944E-005	-0.000792961	-0.00134077	-0.00171954	-0.00192986	-0.00216632	-0.00243241	-0.00260496	-0.00282276	-0.00299192	-0.00318377	-0.00330868	-0.00347754	-0.00365217	-0.0038006	-0.00396869	-0.0041116	-0.00426026	-0.00441743	-0.00445217	-0.00460696	-0.00467479	-0.00475842	-0.00473609	-0.00479738	-0.00476353	-0.00455718	-0.00447154	-0.00423912
481	0.00312616	0.0027945	0.00276302	0.00272298	0.00271342	0.00266074	0.00256529	0.00257366	0.00245665	0.00242226	0.00243099	0.00231511	0.00226177	0.00223392	0.00207984	0.00158703	0.000860621	-5.25334E-005	-0.000765998	-0.00131024	-0.00167304	-0.00200262	-0.00220059	-0.00240384	-0.00265259	-0.00281605	-0.0030392	-0.00320361	-0.00328985	-0.00345557	-0.003677	-0.00385376	-0.00402684	-0.00409289	-0.00422017	-0.00443228	-0.00446275	-0.00464123	-0.00469956	-0.00476044	-0.0047662	-0.00481063	-0.00476757	-0.00464913	-0.00452007	-0.00424114
